Industrial categories,total number of workers
Industrial Category - A - Cultivators - Persons,64235
Industrial Category - A - Agricultural labourers - Persons,907752
"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons",29410
Industrial Category - B - Persons,2853
Industrial Category - C - HHI - Persons,1909
Industrial Category - C - Non HHI - Persons,114053
Industrial Category - D & E - Persons,100
Industrial Category - F - Persons,23113
Industrial Category - G - HHI - Persons,19708
Industrial Category - G - Non HHI - Persons,6188
Industrial Category - H - Persons,65
Industrial Category - J - HHI - Persons,2558
Industrial Category - J - Non HHI - Persons,3976
Industrial Category - K to M - Persons,12439
Industrial Category - N to O - Persons,11080
Industrial Category - P to Q - Persons,16833
Industrial Category - R to U - Non HHI - Persons,122088
